,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
820,female,group D,bachelor's degree,standard,completed,80,76,91
821,male,group B,some college,free/reduced,none,40,39,32
822,female,group D,some high school,free/reduced,none,66,76,73
823,male,group D,associate's degree,free/reduced,none,71,64,55
824,female,group D,associate's degree,free/reduced,completed,48,68,73
825,male,group D,master's degree,standard,none,74,65,67
826,female,group B,associate's degree,standard,none,70,80,79
827,female,group A,associate's degree,standard,completed,82,100,100
828,female,group B,associate's degree,free/reduced,completed,60,85,85
829,male,group E,some college,free/reduced,none,63,62,59
830,male,group A,associate's degree,free/reduced,completed,61,60,62
831,male,group D,some high school,standard,none,60,56,48
832,male,group D,some college,free/reduced,none,47,54,47
833,male,group A,high school,free/reduced,none,35,43,33
834,male,group D,associate's degree,standard,none,97,86,83
835,male,group B,high school,free/reduced,none,63,65,60
836,female,group D,associate's degree,free/reduced,completed,66,83,83
837,male,group D,some high school,free/reduced,completed,77,87,80
838,male,group B,some high school,free/reduced,none,50,47,44
839,male,group C,associate's degree,free/reduced,none,76,68,70
840,male,group E,some college,standard,none,57,41,39
841,male,group D,some college,free/reduced,completed,76,80,80
842,female,group C,bachelor's degree,standard,completed,80,100,98
843,female,group B,high school,standard,completed,62,67,71
844,male,group B,associate's degree,free/reduced,none,45,47,41
845,male,group A,associate's degree,standard,none,83,80,82
846,female,group C,associate's degree,standard,none,80,92,94
847,male,group D,some high school,standard,none,63,58,50
848,female,group D,some high school,free/reduced,none,72,85,79
849,female,group A,some college,free/reduced,none,47,52,51
850,female,group C,master's degree,standard,completed,81,93,92
851,female,group D,some college,free/reduced,completed,49,71,72
852,male,group A,some high school,standard,completed,82,85,81
853,female,group D,some college,standard,none,74,89,91
854,male,group E,bachelor's degree,standard,none,57,43,38
855,female,group B,high school,free/reduced,completed,62,73,70
856,male,group D,bachelor's degree,standard,completed,70,68,73
857,female,group D,some college,free/reduced,none,45,50,56
858,male,group C,high school,free/reduced,none,63,60,47
859,male,group D,some high school,standard,none,86,88,79
860,male,group E,some high school,standard,none,82,73,67
861,female,group B,master's degree,standard,none,70,75,73
862,female,group C,high school,free/reduced,none,62,65,63
863,female,group D,some high school,standard,none,59,64,65
864,female,group C,some college,standard,none,53,67,68
865,male,group C,some college,standard,none,83,84,75
866,male,group D,some high school,standard,completed,87,93,90
867,female,group C,associate's degree,free/reduced,none,46,62,55
868,male,group D,associate's degree,standard,completed,89,87,91
869,female,group E,master's degree,free/reduced,completed,78,84,89
870,male,group E,some college,standard,none,71,64,55
871,male,group B,high school,free/reduced,none,45,45,37
872,male,group A,master's degree,standard,none,76,70,72
873,male,group C,bachelor's degree,free/reduced,completed,83,80,78
874,female,group E,some high school,standard,none,70,77,76
875,female,group B,high school,standard,completed,69,72,73
876,female,group B,high school,standard,completed,90,91,95
877,female,group D,associate's degree,standard,none,81,89,91
878,female,group A,some high school,free/reduced,completed,61,84,79
879,female,group C,high school,standard,none,58,54,52
880,male,group C,high school,standard,none,68,58,60
881,male,group E,high school,free/reduced,completed,80,70,76
882,female,group D,some high school,free/reduced,completed,60,87,84
883,female,group D,bachelor's degree,standard,none,67,75,71
884,male,group C,some high school,free/reduced,none,56,50,50
885,female,group D,associate's degree,free/reduced,none,49,61,59
886,female,group D,some college,standard,completed,93,88,86
887,male,group E,bachelor's degree,standard,completed,60,52,57
888,male,group D,associate's degree,standard,none,73,67,70
889,female,group D,high school,free/reduced,completed,60,56,64
890,female,group B,bachelor's degree,free/reduced,completed,59,80,77
891,male,group B,high school,standard,none,87,82,70
892,male,group C,some college,standard,none,54,58,51
893,male,group C,high school,standard,none,57,52,55
894,male,group C,some college,standard,completed,91,90,83
895,male,group B,some high school,standard,completed,77,70,71
896,female,group E,some high school,free/reduced,none,72,87,89
897,female,group D,high school,standard,completed,62,70,73
898,male,group C,some high school,standard,none,77,73,61
899,female,group A,some college,free/reduced,completed,55,79,75
900,male,group E,high school,free/reduced,none,54,50,44
901,female,group D,some high school,free/reduced,completed,33,48,52
902,female,group E,high school,standard,completed,100,95,99
903,female,group E,some college,standard,none,67,68,70
904,male,group B,associate's degree,free/reduced,none,76,78,71
905,male,group D,master's degree,standard,completed,100,93,97
906,male,group D,high school,standard,none,81,83,80
907,male,group D,some college,standard,completed,67,61,64
908,male,group D,high school,free/reduced,none,34,26,22
909,male,group D,some high school,standard,none,63,56,49
910,male,group C,bachelor's degree,standard,completed,74,78,70
911,female,group B,high school,free/reduced,none,63,69,68
912,female,group D,some college,standard,none,58,65,65
913,male,group B,some college,free/reduced,none,71,74,65
914,male,group C,high school,free/reduced,none,40,39,34
915,male,group B,some college,standard,none,48,44,45
916,female,group B,associate's degree,free/reduced,none,52,64,63
917,female,group C,associate's degree,standard,completed,64,66,70
918,male,group C,some high school,standard,none,82,75,74
919,male,group C,associate's degree,standard,none,63,65,55
920,female,group C,some college,standard,none,63,65,66
921,female,group D,some high school,standard,none,88,92,91
922,female,group A,some high school,standard,completed,44,58,64
923,male,group C,master's degree,standard,none,71,70,68
924,female,group C,some high school,standard,none,30,37,37
925,male,group E,some college,standard,none,93,85,76
926,female,group D,master's degree,standard,none,83,84,90
927,male,group E,associate's degree,free/reduced,none,64,71,66
928,male,group C,some college,free/reduced,completed,81,81,83
929,male,group B,some high school,standard,none,72,71,72
930,male,group D,some college,standard,completed,80,69,78
931,male,group E,associate's degree,free/reduced,none,67,50,52
932,female,group B,high school,free/reduced,none,38,48,48
933,male,group B,some high school,standard,none,54,64,56
934,male,group D,some college,free/reduced,completed,85,79,77
935,female,group A,high school,standard,none,83,89,89
936,female,group E,some high school,standard,none,90,91,95
937,female,group A,master's degree,standard,none,77,86,81
938,male,group E,some college,free/reduced,completed,82,76,78
939,male,group C,associate's degree,standard,completed,67,68,64
940,male,group D,some high school,standard,none,80,73,67
941,male,group D,some high school,standard,none,73,64,61
942,male,group C,associate's degree,standard,completed,61,51,57
943,female,group D,some college,standard,completed,73,85,83
944,female,group B,some high school,standard,completed,65,76,75
945,female,group B,some high school,standard,completed,56,68,72
946,male,group C,master's degree,free/reduced,none,77,76,77
947,female,group B,master's degree,standard,none,74,83,86
948,female,group C,high school,free/reduced,completed,53,79,70
949,female,group D,some high school,free/reduced,none,65,72,70
950,female,group C,associate's degree,free/reduced,none,62,74,73
951,male,group C,high school,free/reduced,none,62,53,49
952,female,group A,some high school,standard,none,78,94,85
953,female,group D,some high school,free/reduced,none,54,65,64
954,male,group E,some high school,standard,none,77,60,57
955,female,group D,some college,free/reduced,none,47,66,61
956,male,group C,master's degree,free/reduced,none,75,79,79
957,female,group C,high school,free/reduced,completed,28,47,40
958,male,group B,high school,standard,none,62,57,58
959,female,group C,associate's degree,standard,completed,87,99,100
960,male,group C,some high school,standard,completed,76,69,74
961,male,group C,high school,standard,completed,67,76,64
962,female,group C,high school,standard,none,75,76,73
963,female,group B,high school,standard,none,80,93,87
964,male,group C,some high school,free/reduced,none,56,56,48
965,male,group C,bachelor's degree,standard,completed,83,76,77
966,male,group D,bachelor's degree,free/reduced,none,51,56,47
967,male,group D,high school,free/reduced,completed,76,90,86
968,male,group C,high school,free/reduced,none,74,80,73
969,male,group E,some high school,standard,none,81,65,64
970,female,group E,master's degree,standard,none,100,95,97
971,male,group B,high school,standard,none,71,58,58
972,female,group D,bachelor's degree,standard,none,65,55,67
973,female,group C,some high school,standard,none,79,89,86
974,male,group D,some college,standard,completed,93,82,89
975,female,group D,some high school,standard,completed,65,74,70
976,female,group B,high school,free/reduced,none,57,63,61
977,female,group B,associate's degree,standard,completed,76,98,95
978,female,group D,master's degree,standard,completed,67,73,80
979,female,group D,bachelor's degree,standard,none,92,92,92
980,male,group A,associate's degree,free/reduced,completed,52,51,53
981,female,group D,high school,standard,none,63,68,70
982,male,group C,high school,free/reduced,completed,60,60,62
983,female,group B,high school,standard,none,57,66,56
984,female,group C,some high school,standard,none,75,75,79
985,male,group C,bachelor's degree,standard,none,70,63,60
986,male,group D,some high school,standard,none,79,73,70
987,male,group E,bachelor's degree,standard,none,92,84,81
988,male,group C,some college,standard,none,60,53,50
989,female,group D,high school,standard,completed,69,74,75
990,female,group E,associate's degree,standard,completed,85,85,86
991,male,group A,high school,standard,none,80,72,69
992,female,group C,some college,free/reduced,none,60,78,72
993,male,group A,bachelor's degree,standard,none,63,51,54
994,male,group B,some high school,standard,completed,69,65,62
995,male,group C,master's degree,free/reduced,completed,62,65,67
996,male,group D,some high school,free/reduced,completed,72,78,73
997,male,group C,high school,standard,none,75,64,63
998,male,group B,associate's degree,standard,none,53,58,51
999,male,group E,some high school,standard,none,75,71,71
1000,male,group B,high school,standard,none,68,68,64
1001,female,group C,bachelor's degree,standard,none,46,55,61
1002,female,group B,some high school,standard,none,82,93,85
1003,female,group B,bachelor's degree,standard,none,39,51,46
1004,female,group D,some high school,free/reduced,none,53,68,60
1005,male,group B,associate's degree,standard,none,48,48,44
1006,female,group D,associate's degree,free/reduced,none,66,75,70
1007,female,group D,associate's degree,standard,none,69,80,83
1008,male,group A,bachelor's degree,standard,none,51,55,48
1009,male,group E,some college,free/reduced,none,85,77,73
1010,male,group B,some high school,free/reduced,none,54,60,51
1011,male,group C,some high school,standard,none,81,86,83
1012,male,group E,high school,standard,none,80,63,62
1013,male,group D,high school,standard,completed,80,78,75
1014,female,group C,high school,standard,none,81,92,89
1015,female,group C,some high school,standard,none,57,63,53
1016,male,group B,associate's degree,standard,none,52,52,44
1017,female,group B,some college,standard,completed,56,62,68
1018,female,group C,bachelor's degree,standard,completed,77,81,85
1019,male,group D,bachelor's degree,free/reduced,completed,58,58,67
1020,male,group E,some college,free/reduced,none,63,59,56
1021,male,group C,bachelor's degree,standard,none,56,61,61
1022,female,group B,some college,standard,none,57,67,63
1023,female,group B,some college,free/reduced,none,62,71,67
1024,male,group B,some high school,free/reduced,none,60,56,51
1025,male,group B,associate's degree,free/reduced,none,61,46,46
1026,male,group C,associate's degree,standard,none,81,82,70
1027,female,group C,some college,free/reduced,none,54,71,69
1028,female,group D,high school,free/reduced,none,53,69,68
1029,male,group D,bachelor's degree,free/reduced,none,78,83,81
1030,male,group D,some college,free/reduced,none,58,55,54
1031,female,group C,associate's degree,free/reduced,completed,60,70,68
1032,male,group B,associate's degree,standard,completed,77,80,78
1033,male,group A,high school,standard,none,77,79,65
1034,female,group D,master's degree,standard,completed,79,85,97
1035,male,group B,high school,standard,none,47,51,49
1036,female,group C,associate's degree,free/reduced,completed,33,51,61
1037,male,group E,some college,free/reduced,none,95,78,79
1038,female,group D,some high school,standard,none,49,65,62
1039,female,group A,high school,standard,completed,73,82,80
1040,female,group E,high school,standard,completed,75,80,84
1041,male,group C,master's degree,standard,none,65,62,52
1042,male,group E,associate's degree,standard,none,90,80,79
1043,female,group B,some high school,standard,none,57,54,64
1044,female,group D,some college,standard,none,49,43,48
1045,female,group B,high school,standard,none,66,76,72
1046,male,group D,master's degree,free/reduced,completed,60,59,70
1047,female,group D,bachelor's degree,standard,none,82,93,87
1048,female,group C,some college,standard,none,54,64,58
1049,male,group E,high school,standard,none,65,53,49
1050,female,group D,associate's degree,standard,none,62,64,65
1051,male,group D,master's degree,free/reduced,completed,49,48,49
1052,female,group B,high school,free/reduced,completed,74,79,84
1053,male,group D,high school,standard,none,77,62,62
1054,male,group A,high school,standard,none,48,47,42
1055,female,group A,high school,standard,none,63,55,60
1056,female,group A,some high school,standard,none,52,63,62
1057,female,group A,high school,standard,none,64,68,65
1058,male,group B,associate's degree,standard,none,67,58,57
1059,female,group E,high school,standard,completed,80,84,87
1060,female,group B,high school,standard,completed,66,85,81
1061,male,group E,associate's degree,standard,completed,82,75,71
1062,male,group A,some college,standard,none,86,79,75
1063,male,group D,master's degree,standard,completed,94,97,97
1064,male,group B,some high school,standard,none,66,60,58
1065,male,group D,high school,free/reduced,none,50,58,51
1066,female,group B,some college,standard,completed,35,59,58
1067,male,group E,associate's degree,standard,completed,88,79,77
1068,female,group D,associate's degree,standard,none,77,74,74
1069,female,group D,associate's degree,standard,none,67,78,79
1070,male,group D,high school,standard,none,88,78,79
1071,female,group D,high school,standard,completed,60,75,78
1072,male,group A,associate's degree,free/reduced,completed,71,71,61
1073,female,group B,high school,free/reduced,completed,69,83,81
1074,female,group C,some high school,standard,none,60,56,56
1075,female,group C,high school,standard,completed,53,69,64
1076,male,group C,some high school,free/reduced,none,75,69,64
1077,female,group D,master's degree,standard,completed,67,75,81
1078,male,group E,some high school,standard,completed,65,48,54
1079,male,group D,some college,standard,completed,73,70,71
1080,male,group C,high school,free/reduced,none,40,39,28
1081,female,group D,bachelor's degree,free/reduced,none,79,86,82
1082,male,group C,associate's degree,free/reduced,none,45,50,50
1083,female,group E,high school,standard,completed,66,68,70
1084,male,group D,master's degree,standard,none,66,47,49
1085,male,group B,some high school,free/reduced,none,50,48,46
1086,female,group C,high school,standard,none,79,84,78
1087,male,group B,master's degree,free/reduced,none,71,77,72
1088,male,group C,bachelor's degree,free/reduced,none,58,59,57
1089,female,group D,associate's degree,standard,none,49,64,64
1090,male,group C,master's degree,free/reduced,none,77,81,80
1091,female,group C,high school,standard,none,74,80,81
1092,male,group C,some high school,standard,completed,59,53,59
1093,female,group B,associate's degree,standard,none,57,63,63
1094,male,group B,some high school,standard,none,86,72,74
1095,female,group B,some college,standard,completed,83,93,91
1096,male,group B,master's degree,standard,none,82,74,67
1097,male,group C,associate's degree,standard,none,72,76,73
1098,female,group B,bachelor's degree,free/reduced,completed,65,87,89
1099,male,group C,associate's degree,free/reduced,completed,59,67,60
1100,female,group E,high school,free/reduced,none,73,79,80
1101,male,group E,high school,standard,none,66,57,58
1102,female,group E,bachelor's degree,standard,none,86,98,91
1103,female,group B,master's degree,free/reduced,completed,46,45,53
1104,female,group C,high school,standard,none,86,87,85
1105,male,group E,some college,free/reduced,none,72,74,68
1106,female,group E,some college,standard,completed,82,82,77
1107,female,group B,high school,standard,none,64,67,66
1108,male,group C,associate's degree,free/reduced,completed,44,60,53
1109,male,group B,high school,standard,none,65,66,61
1110,female,group C,high school,standard,completed,88,100,100
1111,male,group C,some college,standard,completed,74,72,74
1112,female,group C,some college,free/reduced,none,59,68,70
1113,female,group D,some high school,standard,completed,55,67,68
1114,female,group D,high school,free/reduced,completed,34,42,42
1115,male,group C,some high school,free/reduced,none,65,59,56
1116,female,group B,high school,standard,completed,58,70,74
1117,female,group D,some high school,standard,completed,69,83,88
1118,male,group B,high school,standard,none,82,78,76
1119,male,group D,master's degree,free/reduced,none,85,81,83
1120,male,group A,some college,standard,completed,81,82,78
1121,male,group B,some high school,standard,none,70,62,60
1122,male,group C,bachelor's degree,standard,none,71,68,69
1123,female,group D,associate's degree,free/reduced,none,67,80,87
1124,female,group B,high school,standard,completed,61,63,68
1125,female,group D,high school,standard,none,61,72,72
1126,female,group C,associate's degree,standard,completed,77,77,79
1127,female,group D,high school,standard,none,73,91,94
1128,female,group E,master's degree,standard,completed,98,100,100
1129,female,group A,associate's degree,standard,none,70,87,80
1130,female,group C,bachelor's degree,standard,none,57,62,68
1131,female,group D,high school,free/reduced,none,72,75,74
1132,male,group D,some college,free/reduced,none,52,64,57
1133,male,group A,bachelor's degree,standard,none,63,63,62
1134,female,group B,some high school,free/reduced,none,41,65,61
1135,female,group E,associate's degree,standard,none,71,65,69
1136,male,group D,high school,free/reduced,none,68,65,69
1137,female,group B,high school,free/reduced,none,62,76,75
1138,female,group D,associate's degree,free/reduced,none,58,78,78
1139,female,group D,associate's degree,standard,none,78,80,83
1140,male,group C,some high school,free/reduced,none,75,76,67
1141,female,group D,bachelor's degree,free/reduced,none,54,60,58
1142,female,group C,master's degree,standard,none,65,65,71
1143,female,group C,some college,free/reduced,none,64,67,65
1144,male,group C,associate's degree,standard,none,91,83,78
1145,male,group D,some college,standard,completed,71,66,73
1146,male,group E,associate's degree,free/reduced,none,67,52,50
1147,female,group C,master's degree,free/reduced,none,63,71,71
1148,female,group B,high school,standard,none,79,88,82
1149,female,group C,some high school,standard,none,73,72,74
1150,female,group A,some college,standard,completed,81,90,92
1151,female,group E,some college,free/reduced,completed,56,71,70
1152,male,group C,some high school,standard,none,68,76,69
1153,female,group C,some high school,standard,none,54,67,69
1154,female,group C,some high school,standard,none,43,57,52
1155,female,group D,high school,free/reduced,none,47,49,48
1156,female,group A,some college,free/reduced,none,47,50,49
1157,male,group E,some college,free/reduced,none,70,62,58
1158,male,group E,some college,standard,none,89,73,73
1159,female,group C,associate's degree,standard,none,75,84,78
1160,female,group D,some college,standard,none,76,82,92
1161,female,group C,associate's degree,standard,completed,53,67,68
1162,male,group A,associate's degree,standard,completed,75,73,67
1163,male,group C,high school,standard,none,62,50,55
1164,female,group B,associate's degree,standard,completed,75,85,91
1165,male,group E,some college,standard,none,77,72,67
1166,female,group E,some high school,standard,none,89,94,94
1167,male,group A,some college,free/reduced,none,39,39,36
1168,male,group B,some college,free/reduced,none,61,52,54
1169,female,group E,some high school,standard,none,68,69,65
1170,male,group E,bachelor's degree,standard,none,81,86,81
1171,female,group C,some high school,free/reduced,none,40,49,44
1172,female,group C,some high school,standard,none,53,71,61
1173,female,group B,bachelor's degree,free/reduced,completed,31,56,56
1174,male,group C,master's degree,standard,completed,78,71,73
1175,female,group B,bachelor's degree,free/reduced,completed,64,80,85
1176,male,group D,associate's degree,standard,none,84,83,87
1177,male,group D,high school,free/reduced,none,54,49,46
1178,female,group C,high school,free/reduced,none,47,56,52
1179,female,group C,associate's degree,free/reduced,completed,65,70,71
1180,male,group D,master's degree,free/reduced,none,66,59,54
1181,male,group B,master's degree,standard,completed,76,77,81
1182,male,group D,some college,free/reduced,none,52,59,61
1183,male,group C,master's degree,standard,none,85,77,79
1184,male,group B,associate's degree,standard,none,86,73,70
1185,male,group D,master's degree,free/reduced,none,58,56,51
1186,female,group B,some high school,free/reduced,none,26,43,39
1187,female,group D,some high school,standard,none,58,59,58
1188,female,group C,associate's degree,free/reduced,completed,55,79,73
1189,male,group C,some college,standard,none,30,40,33
1190,female,group D,bachelor's degree,standard,none,60,59,65
1191,male,group D,high school,standard,completed,75,74,76
1192,male,group E,high school,standard,none,82,60,65
1193,male,group C,some college,standard,none,57,49,55
1195,male,group D,some college,standard,none,74,77,69
1196,male,group C,associate's degree,standard,completed,70,70,65
1197,male,group A,some high school,free/reduced,none,52,54,45
1198,male,group D,high school,free/reduced,completed,64,73,64
1199,female,group E,some college,standard,none,85,92,90
1200,male,group C,high school,free/reduced,none,52,49,43
1201,female,group E,high school,standard,none,72,77,75
1202,male,group A,associate's degree,free/reduced,completed,57,59,66
1203,female,group D,some college,standard,completed,62,72,70
1204,male,group C,some college,standard,none,88,84,80
1205,male,group B,bachelor's degree,standard,none,76,71,67
1206,female,group C,associate's degree,free/reduced,none,74,83,80
1207,male,group C,some college,free/reduced,none,52,48,45
1208,male,group B,high school,standard,completed,69,73,66
1209,male,group B,some college,standard,none,70,65,70
1210,female,group E,associate's degree,standard,none,63,81,77
1211,female,group D,associate's degree,standard,none,60,70,72
1212,female,group C,master's degree,standard,completed,83,99,96
1213,male,group C,associate's degree,standard,none,68,60,60
1214,female,group C,bachelor's degree,standard,completed,80,87,90
1215,female,group D,some college,standard,completed,90,100,100
1216,female,group D,associate's degree,free/reduced,none,65,73,74
1217,female,group C,some college,standard,none,82,83,84
1218,male,group C,bachelor's degree,free/reduced,none,43,54,54
1219,male,group D,some high school,standard,none,91,81,77
1220,female,group C,some high school,free/reduced,completed,60,84,79
1221,female,group B,some college,standard,none,46,61,55
1222,male,group D,associate's degree,free/reduced,none,82,72,74
1223,male,group E,some high school,standard,completed,71,62,65
1224,male,group C,bachelor's degree,standard,none,60,55,58
1225,male,group D,high school,standard,completed,87,87,89
1226,female,group A,high school,standard,completed,60,72,75
1227,male,group B,some college,free/reduced,none,51,44,48
1228,male,group D,bachelor's degree,standard,none,72,71,67
1229,female,group D,some high school,standard,none,66,60,63
1230,female,group D,associate's degree,standard,none,57,66,62
1231,male,group B,some college,standard,completed,88,83,80
1232,male,group C,some college,standard,none,66,70,62
1233,female,group C,some high school,standard,completed,75,83,84
1234,male,group C,some high school,standard,none,63,62,58
1235,male,group D,bachelor's degree,free/reduced,completed,75,74,78
1236,male,group D,some college,standard,none,91,83,83
1237,female,group D,bachelor's degree,free/reduced,none,70,83,91
1238,female,group C,associate's degree,standard,none,64,64,62
1239,male,group B,high school,free/reduced,completed,63,63,62
1240,male,group C,bachelor's degree,standard,none,67,61,52
1241,male,group A,associate's degree,standard,none,91,89,84
1242,female,group D,associate's degree,standard,completed,63,76,85
1243,male,group D,high school,standard,none,69,65,66
1244,female,group D,some college,free/reduced,completed,57,76,75
1245,female,group C,high school,standard,completed,79,94,93
1246,male,group D,some high school,standard,completed,89,84,86
1247,male,group E,high school,free/reduced,none,74,63,58
1248,female,group D,associate's degree,standard,completed,92,96,100
1249,female,group A,high school,standard,none,21,32,34
1250,female,group D,bachelor's degree,free/reduced,none,43,68,65
1251,male,group B,some college,free/reduced,completed,74,73,73
1252,male,group C,some college,standard,none,57,54,55
1253,male,group D,associate's degree,standard,completed,82,79,77
1254,female,group E,associate's degree,standard,none,73,75,72
1255,female,group E,master's degree,standard,none,100,100,100
1256,male,group C,some college,standard,none,78,69,68
1257,male,group D,bachelor's degree,free/reduced,none,78,70,72
1258,male,group B,bachelor's degree,free/reduced,none,65,63,63
1259,female,group D,some college,free/reduced,completed,63,80,88
1260,male,group C,bachelor's degree,standard,completed,96,78,87
1261,male,group B,bachelor's degree,standard,completed,58,67,63
1262,male,group E,some college,standard,completed,84,68,74
1263,male,group E,high school,standard,none,69,61,56
1264,male,group C,master's degree,standard,completed,55,63,58
1265,male,group C,some high school,standard,completed,67,67,64
1266,female,group D,some high school,standard,none,58,60,61
1267,male,group E,bachelor's degree,free/reduced,none,54,51,40
1268,female,group D,some high school,standard,none,64,69,68
1269,male,group C,bachelor's degree,standard,none,90,82,80
1270,female,group C,high school,standard,none,74,87,82
1271,male,group B,bachelor's degree,standard,none,89,80,81
1272,female,group C,high school,standard,none,81,93,89
1273,male,group D,high school,standard,none,71,72,68
1274,female,group B,master's degree,free/reduced,none,52,62,62
1275,male,group E,some college,standard,completed,80,81,74
1276,female,group D,associate's degree,standard,none,71,62,68
1277,female,group A,associate's degree,free/reduced,none,34,39,41
1278,male,group C,high school,standard,completed,82,76,79
1279,male,group C,associate's degree,free/reduced,none,36,39,35
1280,male,group A,high school,standard,completed,63,75,71
1281,female,group D,some college,standard,none,63,76,69
1282,female,group D,associate's degree,free/reduced,none,86,88,86
1283,female,group C,master's degree,standard,none,54,60,60
1284,male,group C,high school,free/reduced,none,46,42,36
1285,male,group D,associate's degree,standard,none,85,77,80
1286,male,group D,master's degree,standard,completed,65,66,65
1287,male,group E,associate's degree,standard,none,74,67,61
1288,female,group B,associate's degree,standard,none,41,50,52
1289,male,group B,master's degree,standard,completed,72,67,73
1290,female,group A,bachelor's degree,standard,none,75,100,97
1291,female,group D,some college,free/reduced,completed,47,61,65
1292,male,group C,high school,standard,completed,62,52,48
1293,female,group D,associate's degree,standard,none,78,82,77
1294,female,group E,associate's degree,free/reduced,none,82,85,80
1295,male,group E,some high school,standard,none,73,61,58
1296,male,group D,associate's degree,standard,none,65,60,62
1297,male,group B,some college,standard,none,67,61,50
1298,female,group B,associate's degree,standard,completed,66,85,83
1299,male,group D,bachelor's degree,standard,none,58,56,61
1300,female,group B,some high school,free/reduced,none,68,85,76
1301,female,group C,some high school,free/reduced,none,38,55,51
1302,male,group D,high school,standard,none,66,60,52
1303,female,group B,high school,free/reduced,none,28,47,45
1304,male,group E,associate's degree,free/reduced,none,80,68,69
1305,male,group E,some college,standard,none,92,79,82
1306,female,group D,high school,standard,completed,62,67,74
1307,male,group D,high school,standard,completed,77,77,76
1308,male,group B,associate's degree,standard,none,88,81,77
1309,male,group D,high school,free/reduced,none,70,72,65
1310,female,group E,associate's degree,standard,none,87,82,81
1311,female,group D,some college,standard,none,63,70,69
1312,female,group C,some college,free/reduced,none,51,72,67
1313,female,group D,associate's degree,free/reduced,none,57,63,74
1314,female,group C,some college,standard,completed,69,93,91
1315,female,group C,some high school,standard,completed,57,66,67
1316,male,group B,some high school,standard,completed,90,81,82
1317,female,group D,associate's degree,standard,none,60,61,62
1318,male,group C,high school,standard,none,48,46,37
1319,female,group D,associate's degree,free/reduced,none,78,71,80
1320,female,group B,associate's degree,standard,completed,74,91,92
1321,female,group C,high school,free/reduced,completed,62,78,74
1322,female,group C,high school,standard,none,60,67,61
1323,male,group A,some high school,free/reduced,none,63,53,56
1324,female,group C,some high school,standard,completed,74,84,85
1325,female,group B,high school,standard,none,88,93,90
1326,female,group C,some college,free/reduced,none,49,66,61
1327,female,group D,high school,free/reduced,none,44,58,58
1328,female,group D,bachelor's degree,free/reduced,none,70,75,71
1329,female,group C,high school,free/reduced,completed,69,76,84
1330,male,group D,high school,standard,completed,63,69,64
1331,male,group C,some college,free/reduced,none,71,70,63
1332,male,group C,bachelor's degree,standard,none,88,77,77
1333,female,group C,bachelor's degree,standard,none,79,97,92
1334,male,group B,some college,free/reduced,none,50,60,52
1335,male,group C,some college,free/reduced,none,35,28,33
1336,female,group C,some college,free/reduced,none,58,84,80
1337,female,group D,some high school,standard,none,55,62,64
1338,female,group D,associate's degree,standard,none,60,75,67
1339,female,group B,some college,free/reduced,none,67,88,83
1340,female,group E,some high school,standard,none,72,77,76
1341,female,group D,some high school,free/reduced,completed,65,73,81
1342,male,group D,some college,free/reduced,completed,60,61,65
1343,female,group C,master's degree,standard,none,57,61,61
1344,female,group C,master's degree,free/reduced,completed,75,87,89
1345,female,group D,associate's degree,free/reduced,none,76,81,77
1346,female,group C,some college,standard,none,58,58,57
1347,male,group B,high school,free/reduced,none,56,51,44
1348,male,group E,some college,free/reduced,none,79,76,76
1349,female,group B,some college,standard,none,73,89,85
1350,female,group B,high school,standard,none,57,49,58
1351,female,group C,some college,free/reduced,completed,37,51,55
1352,female,group A,some college,standard,none,50,53,56
1353,female,group B,high school,standard,none,44,62,57
1354,male,group B,high school,free/reduced,none,55,55,43
1355,male,group D,some college,standard,none,76,67,63
1356,male,group B,associate's degree,standard,none,69,60,64
1357,male,group B,some high school,standard,none,66,67,58
1358,female,group B,bachelor's degree,free/reduced,none,75,72,80
1359,male,group D,some college,standard,none,91,85,76
1360,female,group D,some college,standard,none,81,85,85
1361,female,group D,some high school,standard,none,61,57,63
1362,male,group C,associate's degree,free/reduced,completed,69,80,76
1363,female,group B,high school,standard,none,79,91,84
1364,male,group D,some college,standard,none,81,73,74
1365,male,group C,associate's degree,standard,none,71,66,58
1366,female,group B,associate's degree,standard,none,46,52,56
1367,male,group C,associate's degree,free/reduced,completed,77,73,65
1368,female,group A,high school,free/reduced,none,31,49,43
1369,female,group E,some high school,free/reduced,completed,68,68,70
1370,male,group B,high school,standard,none,88,83,77
1371,female,group B,associate's degree,standard,none,49,60,58
1372,male,group E,some high school,standard,completed,84,76,79
1373,female,group D,some high school,free/reduced,none,46,66,64
1374,male,group E,high school,free/reduced,none,92,89,75
1375,female,group B,associate's degree,standard,none,41,47,47
1376,female,group B,associate's degree,standard,none,60,71,72
1377,male,group B,associate's degree,standard,none,53,52,46
1378,female,group E,some high school,free/reduced,none,73,85,79
1379,female,group D,some high school,free/reduced,none,62,80,78
1380,male,group C,some college,standard,none,86,82,85
1381,male,group D,some high school,standard,none,48,48,46
1382,male,group D,high school,standard,none,83,74,67
1383,female,group B,high school,standard,completed,78,79,84
1384,male,group B,some high school,free/reduced,completed,83,76,70
1385,female,group A,some college,free/reduced,completed,84,93,89
1386,male,group C,associate's degree,standard,none,75,64,65
1387,male,group B,some high school,standard,none,84,86,83
1388,female,group B,some high school,free/reduced,completed,36,42,48
