"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group B","bachelor's degree","free/reduced","none","46","40","36"
"female","group A","high school","standard","none","66","80","80"
"male","group B","some high school","standard","completed","65","74","71"
"female","group D","some college","standard","completed","61","68","75"
"female","group D","associate's degree","standard","completed","83","87","94"
"male","group D","master's degree","standard","none","66","67","64"
"male","group A","some college","free/reduced","none","56","58","57"
"female","group D","associate's degree","free/reduced","none","54","71","67"
"female","group C","associate's degree","standard","none","61","65","66"
"male","group B","associate's degree","standard","none","61","55","52"
"female","group C","associate's degree","standard","completed","59","75","74"
"female","group D","high school","standard","none","55","67","64"
"female","group A","bachelor's degree","standard","none","57","66","62"
"female","group B","associate's degree","free/reduced","completed","62","74","80"
"male","group C","some high school","standard","none","46","46","43"
"female","group C","master's degree","free/reduced","none","55","66","60"
"male","group E","some high school","standard","completed","100","98","88"
"female","group C","high school","standard","none","63","69","68"
"male","group C","master's degree","standard","completed","100","95","97"
"male","group D","some college","standard","completed","95","88","87"
"male","group B","master's degree","standard","none","75","76","74"
"female","group C","associate's degree","standard","completed","53","69","74"
"female","group E","bachelor's degree","standard","none","93","92","93"
"male","group D","associate's degree","free/reduced","none","64","72","72"
"female","group A","some college","standard","none","49","53","59"
"female","group D","some college","standard","none","82","83","95"
"female","group C","some college","standard","none","56","56","60"
"male","group B","some high school","standard","none","51","48","40"
"female","group B","associate's degree","standard","none","71","81","75"
"male","group D","some college","standard","none","70","54","53"
"male","group B","some high school","free/reduced","completed","50","56","52"
"male","group A","some college","free/reduced","none","62","55","55"
"female","group D","associate's degree","standard","none","52","64","62"
"male","group C","some high school","free/reduced","none","30","25","23"
"male","group B","associate's degree","standard","none","63","53","50"
"male","group D","associate's degree","standard","none","63","57","60"
"female","group D","master's degree","standard","none","66","75","84"
"male","group D","bachelor's degree","free/reduced","completed","47","38","47"
"female","group D","high school","standard","completed","54","52","58"
"male","group A","bachelor's degree","standard","none","90","82","74"
"female","group C","bachelor's degree","standard","completed","70","83","81"
"female","group D","some college","free/reduced","completed","46","63","66"
"female","group C","some college","standard","completed","68","72","72"
"male","group E","some college","standard","completed","63","60","61"
"male","group E","high school","standard","none","65","70","57"
"female","group C","some college","free/reduced","none","33","46","42"
"male","group B","some high school","standard","completed","66","62","55"
"female","group C","some college","standard","none","59","64","60"
"male","group B","some college","standard","none","99","89","86"
"male","group A","associate's degree","free/reduced","none","49","42","43"
"female","group C","some college","standard","none","83","98","90"
"male","group E","associate's degree","free/reduced","none","74","62","58"
"female","group B","associate's degree","standard","none","64","69","70"
"male","group C","associate's degree","standard","completed","50","29","36"
"male","group E","bachelor's degree","standard","none","76","64","59"
"female","group C","high school","standard","none","70","80","81"
"male","group C","some college","free/reduced","completed","62","68","68"
"female","group E","some college","standard","completed","74","77","84"
"female","group D","some college","standard","none","85","95","98"
"female","group C","some high school","standard","none","43","54","49"
"male","group D","some high school","free/reduced","none","70","74","73"
"female","group E","some high school","free/reduced","none","57","63","57"
"female","group B","associate's degree","free/reduced","none","63","63","71"
"male","group D","some college","standard","none","78","77","73"
"female","group A","some college","free/reduced","none","48","63","58"
"male","group D","some college","free/reduced","completed","57","57","59"
"female","group D","some high school","standard","completed","67","67","76"
"female","group E","some high school","standard","none","82","94","86"
"female","group D","some high school","standard","none","51","49","57"
"female","group E","high school","free/reduced","none","47","60","57"
"female","group C","associate's degree","standard","completed","63","81","82"
"male","group D","some high school","standard","none","74","73","72"
"female","group B","bachelor's degree","free/reduced","none","54","66","67"
"male","group B","bachelor's degree","free/reduced","completed","52","56","50"
"male","group B","master's degree","standard","completed","91","88","88"
"male","group B","high school","standard","none","86","85","77"
"male","group C","some high school","standard","none","78","78","70"
"male","group C","associate's degree","standard","none","90","72","72"
"male","group C","bachelor's degree","standard","completed","92","74","78"
"male","group E","high school","standard","none","79","61","58"
"male","group D","some college","standard","completed","64","57","68"
"female","group C","bachelor's degree","standard","none","69","73","77"
"male","group D","associate's degree","free/reduced","none","78","80","74"
"male","group C","bachelor's degree","standard","none","100","91","89"
"male","group E","some college","standard","none","82","70","65"
"female","group E","high school","free/reduced","none","48","58","58"
"female","group B","bachelor's degree","standard","none","57","63","62"
"female","group E","bachelor's degree","free/reduced","none","53","67","68"
"female","group D","associate's degree","standard","none","51","58","60"
"male","group C","associate's degree","free/reduced","completed","58","59","60"
"male","group D","master's degree","standard","none","62","63","61"
"female","group D","some college","standard","completed","67","84","87"
"female","group C","high school","standard","none","68","69","70"
"male","group D","associate's degree","free/reduced","none","78","80","77"
"male","group E","some college","standard","none","70","49","47"
"male","group C","some high school","standard","none","92","79","78"
"male","group B","associate's degree","standard","none","71","64","64"
"male","group D","associate's degree","standard","completed","100","86","100"
"male","group D","associate's degree","standard","none","68","70","64"
"male","group C","some high school","standard","none","50","53","47"
"male","group C","master's degree","free/reduced","none","76","71","63"
"male","group C","associate's degree","free/reduced","none","49","53","52"
"male","group C","associate's degree","standard","completed","82","78","80"
"male","group D","bachelor's degree","free/reduced","completed","64","74","75"
"female","group C","some college","standard","completed","78","82","90"
"male","group D","high school","standard","none","73","68","75"
"female","group E","some college","standard","none","77","86","78"
"male","group C","high school","standard","none","74","71","61"
"female","group C","some high school","standard","none","56","71","62"
"female","group B","some college","standard","completed","88","100","93"
"female","group D","master's degree","standard","none","80","84","89"
"male","group B","associate's degree","free/reduced","none","52","54","48"
"female","group D","some college","standard","none","59","60","61"
"female","group D","some college","standard","completed","50","67","73"
"female","group D","bachelor's degree","free/reduced","completed","80","85","86"
"male","group C","high school","free/reduced","none","49","55","48"
"female","group B","high school","standard","none","60","71","64"
"male","group C","bachelor's degree","standard","completed","95","91","90"
"female","group B","some college","standard","completed","55","61","64"
"male","group B","some college","standard","completed","57","50","58"
"female","group D","some high school","standard","none","71","76","82"
"male","group C","some high school","free/reduced","completed","42","55","53"
"male","group D","high school","free/reduced","completed","49","59","58"
"male","group C","high school","standard","none","76","67","67"
"male","group D","bachelor's degree","standard","completed","85","77","87"
"male","group E","some college","standard","completed","96","79","89"
"female","group A","bachelor's degree","free/reduced","none","61","61","66"
"female","group E","some high school","standard","completed","91","99","100"
"male","group B","some college","standard","completed","71","74","77"
"male","group B","high school","standard","completed","53","59","56"
"male","group C","bachelor's degree","standard","none","78","76","75"
"female","group B","some high school","standard","completed","79","85","85"
"female","group C","associate's degree","standard","none","73","75","78"
"male","group D","associate's degree","standard","none","65","56","53"
"female","group C","high school","free/reduced","completed","72","82","88"
"male","group A","some college","standard","completed","65","68","70"
"male","group B","high school","free/reduced","completed","66","71","64"
"male","group C","some high school","free/reduced","none","55","52","45"
"female","group C","associate's degree","standard","none","62","55","60"
"male","group E","associate's degree","standard","none","69","65","64"
"male","group E","high school","standard","none","75","68","63"
"female","group C","some high school","standard","none","80","95","90"
"male","group D","associate's degree","free/reduced","none","67","62","63"
"male","group D","some college","standard","none","67","49","50"
"male","group C","some college","free/reduced","completed","74","82","79"
"female","group A","some college","standard","none","53","65","64"
"male","group A","some high school","standard","none","45","54","53"
"female","group A","some college","standard","none","70","80","75"
"male","group B","some college","standard","completed","69","69","70"
"male","group E","high school","free/reduced","none","58","52","42"
"female","group A","some college","standard","none","39","52","46"
"female","group B","some high school","free/reduced","none","38","50","47"
"male","group E","master's degree","free/reduced","none","94","77","76"
"female","group E","associate's degree","standard","none","99","97","89"
"male","group D","some college","standard","none","85","79","86"
"female","group C","master's degree","standard","none","59","69","71"
"male","group C","some college","standard","none","79","66","65"
"female","group C","some college","standard","none","78","73","74"
"male","group D","some high school","standard","none","92","85","80"
"male","group C","bachelor's degree","standard","completed","95","90","99"
"male","group D","associate's degree","standard","completed","86","78","79"
"female","group D","high school","free/reduced","none","72","91","87"
"male","group C","associate's degree","free/reduced","none","71","76","68"
"female","group B","associate's degree","standard","none","62","62","62"
"male","group C","high school","free/reduced","none","58","73","69"
"female","group B","bachelor's degree","standard","none","63","58","60"
"male","group C","bachelor's degree","standard","none","50","52","51"
"male","group E","high school","standard","none","82","63","60"
"female","group B","bachelor's degree","free/reduced","none","70","85","81"
"male","group B","bachelor's degree","free/reduced","none","34","37","40"
"male","group B","master's degree","standard","none","62","57","56"
"male","group B","some high school","free/reduced","none","51","49","40"
"male","group E","some college","standard","completed","90","89","91"
"male","group B","some college","standard","none","88","76","73"
"female","group E","bachelor's degree","standard","none","72","74","75"
"female","group D","some college","free/reduced","none","59","70","68"
"female","group B","some college","standard","completed","56","67","69"
"female","group B","associate's degree","standard","completed","79","86","85"
"male","group D","some college","standard","none","59","56","60"
"male","group E","some college","standard","none","92","91","80"
"male","group B","high school","standard","completed","85","81","81"
"male","group E","associate's degree","standard","none","88","76","66"
"male","group C","bachelor's degree","free/reduced","completed","60","62","55"
"male","group C","high school","standard","completed","91","85","79"
"male","group A","some high school","free/reduced","none","64","64","52"
"male","group B","some high school","standard","none","69","75","71"
"male","group D","associate's degree","standard","completed","84","91","82"
"female","group E","some high school","standard","none","57","64","63"
"male","group E","some college","free/reduced","none","69","72","67"
"female","group C","high school","standard","none","76","84","81"
"male","group D","some high school","standard","completed","98","93","86"
"male","group A","some college","standard","none","65","59","52"
"female","group E","some college","standard","completed","75","82","85"
"female","group C","some high school","standard","completed","51","65","69"
"male","group E","some college","free/reduced","none","71","77","69"
"female","group C","associate's degree","standard","none","72","81","78"
"male","group D","bachelor's degree","free/reduced","none","61","65","65"
"male","group A","associate's degree","free/reduced","none","73","67","70"
"male","group B","some college","free/reduced","completed","50","42","42"
"male","group D","high school","free/reduced","none","50","44","49"
"male","group C","master's degree","standard","none","63","65","63"
"male","group C","some high school","standard","completed","86","82","81"
"male","group B","high school","standard","none","62","59","59"
"male","group A","some college","standard","completed","85","85","81"
"female","group C","some college","free/reduced","none","42","55","51"
"female","group D","some high school","free/reduced","none","36","55","52"
"male","group A","some high school","free/reduced","none","67","67","66"
"female","group C","some high school","standard","completed","72","75","77"
"female","group D","high school","standard","completed","63","83","87"
"female","group B","bachelor's degree","standard","none","74","88","87"
"male","group D","high school","free/reduced","none","51","48","47"
"male","group E","some college","standard","completed","95","90","88"
"female","group D","some college","free/reduced","completed","60","68","67"
"female","group B","some college","free/reduced","none","40","56","51"
"male","group C","high school","free/reduced","completed","73","69","64"
"male","group E","some high school","standard","completed","75","71","69"
"male","group C","associate's degree","standard","none","82","79","78"
"male","group E","some college","standard","none","70","75","68"
"male","group E","some college","standard","completed","80","78","80"
"female","group C","bachelor's degree","free/reduced","none","39","49","49"
"male","group C","associate's degree","free/reduced","none","75","80","69"
"female","group B","high school","standard","none","60","66","66"
"male","group D","associate's degree","standard","none","71","60","60"
"female","group D","high school","standard","none","81","83","81"
"female","group C","master's degree","free/reduced","none","45","62","66"
"male","group E","associate's degree","standard","completed","100","97","91"
"male","group D","master's degree","standard","none","79","66","68"
"female","group C","bachelor's degree","free/reduced","none","44","55","55"
"male","group D","associate's degree","free/reduced","completed","88","78","79"
"female","group B","some high school","standard","none","77","76","79"
"male","group D","some high school","standard","none","57","57","54"
"male","group D","high school","free/reduced","none","64","65","61"
"female","group C","some college","standard","completed","89","100","99"
"female","group C","some college","free/reduced","none","69","88","88"
"female","group E","some college","free/reduced","completed","49","64","60"
"female","group C","associate's degree","standard","none","58","73","70"
"male","group C","high school","standard","none","77","56","55"
"female","group D","associate's degree","free/reduced","none","47","66","59"
"female","group C","high school","standard","completed","67","79","81"
"female","group E","bachelor's degree","standard","none","74","74","68"
"male","group D","high school","standard","none","75","68","68"
"male","group C","associate's degree","standard","none","78","70","73"
"male","group C","some college","standard","none","67","60","57"
"female","group C","high school","standard","completed","52","67","61"
"male","group D","associate's degree","standard","none","92","90","81"
"female","group B","bachelor's degree","free/reduced","none","47","70","63"
"male","group B","some high school","standard","none","73","63","60"
"male","group C","associate's degree","standard","completed","52","43","49"
"male","group E","high school","free/reduced","none","92","80","75"
"female","group D","associate's degree","standard","completed","62","62","72"
"male","group E","some college","free/reduced","completed","85","68","70"
"male","group D","bachelor's degree","free/reduced","none","82","81","81"
"female","group D","bachelor's degree","standard","none","53","57","60"
"female","group C","associate's degree","standard","none","72","71","69"
"female","group C","associate's degree","free/reduced","completed","61","76","78"
"female","group B","bachelor's degree","free/reduced","none","55","62","67"
"male","group B","high school","free/reduced","completed","51","57","51"
"male","group C","associate's degree","free/reduced","completed","61","59","57"
"male","group C","high school","standard","completed","68","66","68"
"female","group C","bachelor's degree","standard","completed","79","97","95"
"male","group B","master's degree","standard","none","88","90","85"
"female","group D","high school","standard","none","42","43","43"
"male","group E","some high school","free/reduced","none","50","53","42"
"female","group B","some high school","standard","none","85","76","80"
"female","group D","associate's degree","free/reduced","none","54","61","64"
"male","group D","some high school","free/reduced","completed","82","81","84"
"male","group C","high school","standard","none","64","54","55"
"female","group E","high school","free/reduced","none","59","62","61"
"male","group C","master's degree","standard","none","89","80","79"
"female","group D","high school","standard","completed","82","90","90"
"female","group E","some high school","free/reduced","none","40","53","44"
"male","group D","associate's degree","standard","none","81","86","80"
"female","group E","some college","free/reduced","completed","57","69","64"
"female","group C","some college","standard","completed","49","72","70"
"male","group A","bachelor's degree","standard","completed","86","78","83"
"female","group B","some college","free/reduced","completed","53","65","70"
"male","group D","some high school","standard","none","75","71","69"
"female","group B","some college","standard","none","40","54","53"
"male","group A","high school","standard","none","75","65","65"
"female","group C","some high school","standard","none","56","64","65"
"male","group D","some college","free/reduced","none","48","35","36"
"male","group C","bachelor's degree","standard","none","70","63","62"
"female","group D","some high school","standard","none","85","92","91"
"male","group B","some high school","standard","completed","57","61","59"
"female","group E","some college","free/reduced","completed","76","88","90"
"female","group C","associate's degree","standard","none","70","71","72"
"female","group D","associate's degree","free/reduced","none","61","77","76"
"male","group D","bachelor's degree","free/reduced","none","61","64","59"
"female","group B","associate's degree","free/reduced","none","45","50","43"
"female","group B","some college","free/reduced","none","51","62","67"
"male","group C","high school","free/reduced","completed","55","55","55"
"female","group A","some college","standard","completed","81","73","79"
"female","group B","associate's degree","standard","none","46","57","50"
"male","group B","associate's degree","standard","none","59","55","51"
"female","group B","master's degree","standard","none","58","54","54"
"male","group C","associate's degree","standard","completed","99","93","87"
"female","group B","high school","standard","none","59","64","61"
"male","group C","some college","standard","none","73","66","65"
"male","group D","high school","standard","completed","93","86","94"
"male","group D","associate's degree","free/reduced","none","71","57","62"
"female","group D","bachelor's degree","standard","none","85","92","95"
"female","group D","associate's degree","standard","none","72","87","87"
"male","group A","bachelor's degree","standard","completed","96","92","99"
"male","group C","high school","standard","completed","65","69","60"
"male","group B","master's degree","free/reduced","none","72","62","61"
"female","group B","associate's degree","standard","completed","76","86","90"
"male","group B","high school","free/reduced","none","52","56","50"
"male","group B","some high school","free/reduced","none","73","76","66"
"male","group D","associate's degree","free/reduced","none","54","55","56"
"female","group C","high school","free/reduced","none","63","66","63"
"female","group C","associate's degree","free/reduced","completed","65","87","83"
"male","group D","some high school","standard","none","57","42","42"
"female","group D","master's degree","standard","none","73","80","82"
"female","group A","some college","free/reduced","completed","45","58","58"
"male","group B","associate's degree","standard","completed","70","69","66"
"female","group C","high school","free/reduced","none","41","55","51"
"female","group C","high school","standard","none","66","67","62"
"male","group B","some college","free/reduced","completed","57","57","56"
"female","group D","bachelor's degree","standard","none","73","75","78"
"female","group D","some college","standard","completed","71","81","80"
"female","group B","associate's degree","free/reduced","none","57","73","68"
"female","group B","some college","standard","none","58","67","68"
"female","group D","associate's degree","standard","none","70","75","78"
"female","group B","master's degree","free/reduced","completed","82","98","97"
"female","group B","some high school","free/reduced","none","53","63","63"
"female","group C","some college","free/reduced","none","64","71","60"
"male","group B","some college","free/reduced","none","78","71","67"
"male","group A","associate's degree","standard","completed","86","85","82"
"male","group B","bachelor's degree","standard","none","66","57","54"
"male","group B","some college","free/reduced","completed","37","32","29"
"male","group D","master's degree","standard","none","78","72","73"
"female","group D","some high school","standard","none","52","53","53"
"male","group D","high school","standard","completed","58","53","50"
"male","group B","high school","standard","none","61","52","53"
"female","group E","bachelor's degree","standard","none","100","97","100"
"male","group E","some college","standard","none","100","89","82"
"female","group E","master's degree","standard","completed","77","88","95"
"female","group D","master's degree","standard","completed","84","77","88"
"female","group D","bachelor's degree","standard","none","95","99","100"
"male","group C","associate's degree","standard","none","79","79","78"
"male","group C","high school","free/reduced","completed","66","64","63"
"female","group B","high school","free/reduced","none","56","65","65"
"male","group E","high school","free/reduced","none","58","53","52"
"female","group D","high school","standard","none","69","75","77"
"female","group D","bachelor's degree","standard","completed","89","99","100"
"female","group B","some college","free/reduced","none","39","54","55"
"female","group D","some college","standard","none","55","63","65"
"male","group B","high school","standard","none","73","63","57"
"female","group E","associate's degree","free/reduced","none","68","71","63"
"male","group D","high school","free/reduced","completed","53","58","62"
"male","group A","high school","standard","none","62","57","51"
"male","group C","some college","standard","none","49","58","53"
"female","group D","master's degree","standard","none","82","89","91"
"female","group B","some college","free/reduced","completed","54","67","65"
"male","group C","bachelor's degree","free/reduced","completed","60","65","61"
"female","group D","some college","standard","none","83","86","91"
"male","group D","associate's degree","free/reduced","none","36","40","36"
"female","group B","some college","standard","none","82","83","81"
"male","group D","some high school","standard","completed","52","58","59"
"male","group E","associate's degree","standard","completed","76","62","66"
"female","group B","associate's degree","free/reduced","none","37","54","49"
"male","group D","master's degree","free/reduced","none","53","48","48"
"male","group C","high school","standard","none","75","70","69"
"female","group D","high school","standard","completed","88","100","100"
"male","group B","high school","free/reduced","none","63","56","54"
"male","group E","some college","free/reduced","none","80","66","64"
"female","group D","master's degree","standard","none","75","76","84"
"female","group D","associate's degree","standard","none","63","66","73"
"male","group A","some high school","free/reduced","completed","70","71","66"
"male","group B","some college","standard","completed","71","69","69"
"female","group E","some college","standard","completed","92","100","96"
"female","group C","high school","standard","none","56","67","62"
"female","group E","bachelor's degree","standard","none","86","80","80"
"male","group B","master's degree","free/reduced","none","65","65","59"
"male","group B","some college","standard","completed","67","59","63"
"female","group E","master's degree","standard","none","80","82","81"
"female","group E","high school","standard","completed","87","90","81"
"male","group E","some college","standard","none","87","68","75"
"male","group C","associate's degree","free/reduced","completed","74","81","82"
"female","group D","high school","standard","completed","66","85","84"
"female","group C","master's degree","free/reduced","none","53","68","63"
"female","group D","associate's degree","free/reduced","none","61","61","69"
"female","group D","associate's degree","standard","none","76","82","90"
"male","group D","high school","standard","completed","85","69","77"
"female","group E","some college","standard","none","98","93","99"
"male","group C","some high school","standard","none","72","76","65"
"female","group A","some college","free/reduced","completed","69","83","80"
"female","group C","associate's degree","free/reduced","none","55","75","65"
"female","group E","bachelor's degree","standard","none","54","57","58"
"male","group D","some college","standard","none","54","47","46"
"female","group D","some college","free/reduced","none","75","91","89"
"female","group E","some college","standard","none","93","94","92"
"male","group C","some college","standard","none","89","82","79"
"male","group D","some college","free/reduced","none","75","77","77"
"male","group C","some high school","free/reduced","completed","71","67","63"
"male","group A","high school","standard","none","52","46","41"
"female","group B","bachelor's degree","standard","none","78","84","91"
"male","group E","master's degree","standard","none","97","75","82"
"female","group C","bachelor's degree","standard","none","86","100","98"
"female","group D","some college","free/reduced","none","79","88","82"
"male","group D","high school","standard","none","86","68","67"
"female","group A","associate's degree","standard","completed","81","84","90"
"male","group B","some high school","standard","none","37","35","22"
"male","group D","associate's degree","free/reduced","none","61","62","56"
"male","group D","associate's degree","standard","completed","70","62","66"
"female","group C","some high school","standard","none","68","69","67"
"female","group E","associate's degree","standard","completed","77","83","78"
"female","group C","master's degree","free/reduced","none","49","58","52"
"female","group C","high school","standard","none","52","51","54"
"male","group D","some high school","free/reduced","none","62","62","61"
"male","group C","some college","standard","none","70","66","65"
"male","group C","some college","standard","none","79","73","69"
"female","group A","some college","standard","none","46","65","65"
"female","group D","associate's degree","free/reduced","completed","72","86","94"
"female","group C","high school","standard","none","73","72","75"
"female","group C","some high school","free/reduced","completed","57","72","68"
"male","group B","master's degree","standard","none","79","68","70"
"female","group A","high school","free/reduced","none","67","71","72"
